Unable to implement logic for coding questions,written wrong answers in theory part,takes long time to submit assignments,trying to do problems but lack of practice ,sometimes bounce from out of concept and slow learner 
too slow to learn,not practicing problems ,little bit scared ,unable to implement logic,not even try to answer the questions while asking regarding subject
not even interested to sit exam room. ,too lazy ,no practice,like to take more breaks,always tell as health problem. not feel well........
like to take more breaks,CR works,unable to implement logic,lack of practice,used to try or attempt but not get solutions
irregular to class( always late comings),takes more leaves,not interested to practice,careless towards course,"if tried hard can solve problems, but not interested to do that"
He was absent for the complete week of ADS - 1 Week - 1.,He was absent for the complete week of ADS - 1 Week - 1.,He was absent for the complete week of ADS - 1 Week - 1.,He was absent for the complete week of ADS - 1 Week - 1.,He was absent for the complete week of ADS - 1 Week - 1.
T Indu faced problems while reading inputs in exam.,"Attentive in class, code reviews. Took more time to submit module problems.",She could not get the logic for the number of connected components in exam.,"She is one among the passed students who completed CSPP - 1, can do better.",No absents in the week - 1 of ADS - 1.
P Akhil faced trouble in building logic and reading inputs in exam.,He took time to submit modules in ADS - 1 Week - 1.,"For a week, he will be absent to college, due to health issues,etc.",He didn't complete CSPP - 1 course.,1 absent in the week - 1 of ADS - 1.
didn't know how to read the input,He is not listening to the videos with concentration. gets distracted with mobile phone.,"weak in logical thinking, doesnot put efforts to practice more problems.","Asks doubts , but most of the time he doesn't complete the  program and moves to solve another program",Did not practice the model paper given for the exam as he was absent on the previous day of the exam
The programs are correct but faced the problem with reading the input,-,-,-,-
One program is correct but faced the problem with reading the input,"Understands the concept, weak in implementations",-,-,-
"Faced problem with input reading,  program was correct",-,-,-,-
Mistake was only in calculating the number of components.  ,Understanding and Programming skills are good,-,-,-
"Doesn't watch the video completely. pauses the video,opens other tabs and again resumes watching.",Does not complete the work on time. ,Does not spend more hours on practicing,Absent on 3rd and 4rth october (union find modules were discussed in the class on these days),-
Absent on 3rd and 4rth October(union find modules were discussed on these days),Did not complete the pending work on time,Irregular to class most of the times due to health issues,Good at programming.,-
Slow Learner,Getting Confused in Exams while solving.,Wasn't able to solve boundary test cases(Solves problem but cannot pass last one or two test cases).,None,None
Slow learner.,In exam while solving cannot remove errors if occurred.,In exam cannot pass boundary test cases.,None,None
He is a slow learner. I observed in the last courses that he will take some time to adjust with the course. after that he will perform better.,He will spend more time on reading the concept rather than practice.,He won't move to next topics unless he understand a single topic. so the pending works for him will be more.,last week he is absent for 1.5 days out of 4 days which effects his performance.,"He is a weak in tracing of code, so even he is conceptually good he can't find his own errors in his code"
Unable to implement logic for coding questions,written wrong answers in theory part,trying to do problems but lack of practice,takes long time to submit assignments,takes more time to understand concepts
Health is not well,trying to do problems but lack of practice,like to take more breaks,using mobile in lab,takes more time to understand concepts 
using mobile in lab,doing soft skill work in morning it time,sleeping in lab and saying headache,sometimes youtube stuff,trying to do problems but lack of practice
He is a slow learner and need some time to adjust with the course once he adjust with the course he will perform better.,works hard on last two days of exam. but not from the first day.,"Tracing is the main drawback 
I saw his week-1 code he made some mistakes which are very easy to identify in tracing.",His practise time not sufficient for him as he is a slow learner. He need to practice more.,He spends more time on readings concepts rather than practice.
careless towards assignments,mobile addict,youtube and hangouts,sleeping and saying headache,not able to answer the questions(even for simple viva)
taking more breaks,hangout and youtube,takes long time to understand concepts,"able to do problems, but lack of practice",Unable to implement logic for coding questions
watching youtube,mobile usage,Unable to implement logic for coding questions,takes long time to submit assignments,trying to do problems but lack of practice
Taking more time to understand modules and complete them.,In exam got stuck in recursion.,2 Half day leaves due to health issues.,Failed in last two courses also,None
Taking more time to understand modules and completing them.,Loosing focus while studying frequently.,Getting confused in exam.,Absent for 1 1/2 days.,Failed in last two courses.
Taking more time to understand modules and solve them.,Not practicing more for exam.,1 day leave.,Failed in both previous courses.,None
Didn't practice for exam properly. ,Took 1 day leave.,Passed both previous courses.,None,None
was absent for one entire day out of four days,"not asking doubts to mentor, rather taking help of friends",not active in the discussions,need lot of time to understand and code it,she is physically present but not mentally 
was absent for one entire day,too slow in understanding and coding,on average never asks any doubts,takes help from fellow classmates to solve modules ,concentration level is low
"Suresh faced trouble in building logic, reading inputs in exam.",He is too slow in submitting modules in ADS - 1 Week - 1,Never asked a doubt in the class to mentor.,He didn't complete CSPP - 1 course.,1 absent in the week - 1 of ADS - 1
"Sruthi faced trouble in building logic, inout reading","Lack of concentration in the class, discussions, code reviews.","If concentrates, can do her best.",She didn't complete CSPP - 1 course.,1 absent in the week - 1 of ADS - 1
Irregular to the class due to health issues so she is lagging.,"Grasping is good,but little slow in implementation.",Fails in accomplishing all the test cases.,She is attentive in the class.,Did'nt complete the module tasks 
Understands the concept thoroughly.,Implements everything on his own.,Fails in passing all the test cases in exam.,Attentive in the class.,Needs to improve in time management.
Irregular to the class due to health issues.,Didnt complete the module tasks. ,Needs to improve in her basics.,Grasping is average ,Will not participate in the classroom discussions  actively as she is suffering with hearing problem.
Learning ability is good.,Implements the code on her own itself but slow a bit.,Fails to accomplish all the test cases.,Attentive in the class.,Always positive minded.
Grasping is average.,Implementation is below average.Needs to improve in the basics.,Completes the module only with the help of others.,Sometimes not attentive in the class as she is not very interested about the coding.,No self motivation.
Learning curve is good.,Implementation is slow,Fails in accomplishing all the testcases,Attentive and participates well in the classroom sessions.,Needs to improve a bit in the basics.
Learning ability is average.,Implementation is slow.,Needs to improve in the basics.,Regular to the class.,Cannot complete the module tasks on her own.
Learning ability is good,Does modules mostly on his own itself.,Fails in accomplishing all test cases in exam.,Regular to the class,Participates well in the classroom sessions.
Grasping is  good.,Lazy in implementing.,attentive in the class.,Sometimes misses the discussions as she takes leaves.,Does the module tasks only with help.Needs improvement in basics.
Learning ability is good,Implementation is slow.,Attentive in the class.,Fails in accomplishing all test cases in exam.,Need to improve time management.
